siren,siret,nom,forme_juridique,code_naf,adresse,code_postal,ville,date_creation
440887131,44088713100058,JARDINERIE DE BARENTIN,SARL,47.76Z,ZAC LA CARBONNIERE 250 BOULEVARD DE L'EUROPE 76360 BARENTIN,76360,BARENTIN,2002-02-13
980995294,98099529400017,LA JARDINERIE DU CENTRE,SARL,47.76Z,1 RUE FABERT 57000 METZ,57000,METZ,2023-10-23
412048233,41204823300016,JARDINERIE GLOMOT Y,SARL,47.76Z,LASCHAMP DE CHAVANAT 23000 SAINT-FIEL,23000,SAINT-FIEL,1997-03-01
919050039,91905003900016,JARDINERIE D'EMBALOGE,SAS,47.76Z,135 ROUTE D'AUCH 32300 MIRANDE,32300,MIRANDE,2022-09-08
308907419,30890741900011,JARDINERIE DE CHEVREUSE,SAS,47.76Z,LE BREUIL 78460 CHEVREUSE,78460,CHEVREUSE,1976-01-01
484189592,48418959200013,LES FLEURISTES,SARL,47.76Z,13 RUE DE RIVOLI 06000 NICE,06000,NICE,2005-09-16
918586603,91858660300014,LE FLEURISTE MARLY,SARL,47.76Z,1 RUE LA BELLE FONTAINE 57155 MARLY,57155,MARLY,2022-08-16
913346730,91334673000017,LE FLEURISTE D'AUDINCOURT,SAS,47.76Z,ENTREE A 10 A ALLEE DU CHENE 25400 AUDINCOURT,25400,AUDINCOURT,2022-05-10
851968537,85196853700015,ALCHIMIA FLEURISTES,SAS,47.76Z,70 AVENUE D'ARGENTEUIL 92600 ASNIERES-SUR-SEINE,92600,ASNIERES-SUR-SEINE,2019-06-17
832905376,83290537600014,LES FLEURISTES (ACANTHE),SAS,47.76Z,CD 16 CENTRE COMMERCIAL DE L AUTAN RTE DE BAZIEGE 31670 LABEGE,31670,LABEGE,2017-10-03
503114845,50311484500012,LE FLEURISTE DU COIN,SARL,47.76Z,150 AVENUE DU GENERAL LECLERC 92330 SCEAUX,92330,SCEAUX,2008-03-11
803607787,80360778700014,LE PETIT FLEURISTE,SAS,47.76Z,49 RUE NOTRE DAME 33000 BORDEAUX,33000,BORDEAUX,2014-07-15
448071985,44807198500015,L'APPRENTI FLEURISTE,SARL,47.76Z,9 RUE NOTRE-DAME 84100 ORANGE,84100,ORANGE,2003-04-01
431236009,43123600900012,JEAN FLEURISTE,SARL,56.10A,7 PLACE DES MARTYRS DE LA RESISTANCE 34000 MONTPELLIER,34000,MONTPELLIER,2000-04-17
931199699,93119969900014,TC FLEURISTE,SAS,47.76Z,71 RUE HENRI DUVERNOIS 91270 VIGNEUX-SUR-SEINE,91270,VIGNEUX-SUR-SEINE,2024-07-17
839727922,83972792200016,LE FLEURISTE,SARL,47.76Z,30 RUE DE FOUGERES 35340 LIFFRE,35340,LIFFRE,2018-05-17
353327307,35332730700024,VOTRE FLEURISTE,SARL,47.76Z,13 PLACE JB GALLAND 42140 CHAZELLES-SUR-LYON,42140,CHAZELLES-SUR-LYON,1990-01-01
